target,bert_depth,train_size,n_seeds,RMSE_mean,RMSE_std,RMSE_CI95,MAE_mean,MAE_std,MAE_CI95,Pearson_R_mean,Pearson_R_std,Pearson_R_CI95,R2_mean,R2_std,R2_CI95
gap,4,50,10,1.0025039678244867,0.03593996351859644,0.022275820173456317,0.7738409461919431,0.027987065226044078,0.01734656274304692,0.6623991787433624,0.021320418643804084,0.013214532382216858,0.35776702761650087,0.04608010417661633,0.02856074446712531
gap,4,75,10,1.0154586917345882,0.039158312556296156,0.02427057357330659,0.7769187342452156,0.03558627923669765,0.022056604384389673,0.6769391894340515,0.015462918741175035,0.009584016329258488,0.34094199538230896,0.05081440934415782,0.0314950972108016
gap,4,100,10,0.997703068415001,0.037596967478226787,0.023302841867908836,0.7579630294187472,0.0333933760038234,0.02069742887916074,0.6818224489688873,0.019783799376215536,0.012262125892929264,0.3638264358043671,0.04729549209558482,0.029314049703785455
gap,4,125,10,0.9105594381987732,0.020320449474971632,0.01259474507017948,0.6853237005172809,0.015166321305376514,0.009400183333981864,0.7166055917739869,0.010665420295745319,0.006610495986158203,0.47054443359375,0.02358717569346122,0.014619482957332208
gap,4,150,10,0.8365622426720487,0.013177331071152197,0.008167394414721661,0.650115735184616,0.010899661443561248,0.006755680153728984,0.7542087495326996,0.008914648122564327,0.005525356150824443,0.553201413154602,0.014129020310615263,0.008757257516511492
gap,4,175,10,0.820275147123444,0.01966898280163957,0.01219096184272473,0.6336423256150837,0.020764937791054202,0.01287024178272162,0.7719733536243438,0.011308864021411612,0.007009306539131209,0.570303225517273,0.020732546318436153,0.012850165339994578
gap,4,200,10,0.7973287809001754,0.014124545451973584,0.008754483970390555,0.6217417923792246,0.015134548301618206,0.009380490222225521,0.7878596425056458,0.015262957433574245,0.009460079026777377,0.5941030263900757,0.014455877557281628,0.008959845736874143
gap,4,225,10,0.7978036455942903,0.02446891913058549,0.015165993201682966,0.6251260307831119,0.022814323458057964,0.01414046417904133,0.7877324819564819,0.015177359925373052,0.009407025141539037,0.5933901906013489,0.0252410629986904,0.015644572929373622
gap,4,250,10,0.8029577002421209,0.029812592115910048,0.018478036031811442,0.6281827371303598,0.026353943895265183,0.016334343655316275,0.7882418811321259,0.02280209122050556,0.014132882559658347,0.5879574120044708,0.03126613103697619,0.01937894878883289
gap,4,275,10,0.7987065335621935,0.025062634800267547,0.015533981986233552,0.6208221036530681,0.02245067726431502,0.013915073933044331,0.784712553024292,0.011817165848477808,0.007324355275552632,0.5924531698226929,0.025485780425175027,0.015796250361735563
gap,4,300,10,0.7878648560266189,0.022986495547697806,0.01424717754578476,0.611144948798456,0.023547235517493062,0.014594727779795577,0.7920002400875091,0.01426525386998674,0.008841695951419159,0.6034897983074188,0.023087801004716326,0.01430996731856699
gap,4,325,10,0.762665323567373,0.027954156353148945,0.01732616561230571,0.5972160263025534,0.030197443242210385,0.01871656923117272,0.8173444271087646,0.009160655258676811,0.005677832953495462,0.6282841384410858,0.027230219639946367,0.016877464988780608
gap,4,350,10,0.7346311577055356,0.025958857652015176,0.016089466664745884,0.5700088018813898,0.025184398654254585,0.01560945200482828,0.8283882558345794,0.0116388562550288,0.007213837844536961,0.6551384449005127,0.024178811672878754,0.014986182736502334
gap,4,375,10,0.7388691708778372,0.02365156674761958,0.014659392946179822,0.5746455605232361,0.025469878296359015,0.015786394120181582,0.8279196977615356,0.009856131749251639,0.006108893748281611,0.6512182772159576,0.022278103884600838,0.01380811184413599
gap,4,400,10,0.7325118714965991,0.02071326569513649,0.012838215085864987,0.5641556918096834,0.018492614770450794,0.011461841383072484,0.8293570578098297,0.01046751820027717,0.006487834996579914,0.6572637319564819,0.01939443386393228,0.012020794648147124
gap,4,425,10,0.744675768772182,0.014225761195103506,0.008817218137928545,0.5777012892250042,0.0140650527498138,0.008717610011565898,0.8277315020561218,0.0076071398935846565,0.004714954154478651,0.6459249138832093,0.013493655630069299,0.00836345440758279
gap,4,450,10,0.7392420353555181,0.022157742402721524,0.013733511024778811,0.5736848840897109,0.02024167887021835,0.012545922543536387,0.8304065763950348,0.005445945733801513,0.003375432136368004,0.6509057998657226,0.02113690595529082,0.013100790039469243
gap,4,475,10,0.7503582674715633,0.02442560431472726,0.015139146400672583,0.5879168617873064,0.024012646620508116,0.014883192570031907,0.8335156261920929,0.006700802236474542,0.004153200254651513,0.6402758479118347,0.023211119313107834,0.01438640079798337
gap,4,500,10,0.7602221950417171,0.030368590993160388,0.018822647706218505,0.5946394825916644,0.03089629976700723,0.019149724992874206,0.8275104641914368,0.008314182761528737,0.0051531838642305166,0.6305780589580536,0.029748587720618485,0.018438365696612356
gap,4,600,3,0.7040596555462881,0.023255351660769877,0.026315907741232002,0.5457543044213307,0.02323279584446991,0.02629038343227135,0.8628208438555399,0.0013666342120243421,0.0015464921951841718,0.6833693186442057,0.02099105062222948,0.023753609905541814
gap,4,700,3,0.7328761433113521,0.04751230551481953,0.05376523506244956,0.5758948791352344,0.046297389993659184,0.05239042872820778,0.8671952684720358,0.012421841386011757,0.014056636797367654,0.656208872795105,0.043988149166198344,0.04977727673402573
gap,4,800,3,0.6722278438945206,0.04374734650199626,0.04950478286734837,0.5236459866181249,0.046663830362156475,0.05280509504117974,0.8807013233502706,0.003660700083756515,0.0041424721104074465,0.7107483943303426,0.0380901311984931,0.043103041101799584
gap,4,900,3,0.6725088098532236,0.05408562474108335,0.06120364600696498,0.5287018605610988,0.05036324224729194,0.056991373678723214,0.8889962633450826,0.001616047226166491,0.0018287295900587283,0.7100768287976583,0.04749813781419177,0.05374920279993794
gap,4,1000,3,0.6881378159622984,0.050462852528962404,0.057104093323678745,0.550449451261089,0.05383307596210756,0.06091786016013561,0.888678232828776,0.007874674668189415,0.008911033257341376,0.6966644128163656,0.044487153891118195,0.0503419537380541
gap,4,1500,3,0.5903567578819967,0.015778699332486427,0.017855279161863486,0.45391156482733624,0.015156234170599098,0.01715089352146093,0.9028065005938212,0.005265141593488408,0.0059580685959911735,0.777436375617981,0.011968748103877278,0.013543913481687283
gap,4,2000,3,0.5676955855118822,0.027995855562350916,0.03168029290042968,0.428132999592851,0.02628261982601875,0.02974158415785862,0.915213922659556,0.002903748598619473,0.0032859008687410244,0.793959359327952,0.020370892794687387,0.02305183525974571
gap,4,2500,3,0.5324195902481771,0.022040013570447357,0.02494062322496794,0.40014577436243065,0.025874565488550664,0.02927982720595948,0.9245787262916565,0.002738172119345396,0.0030985334439755214,0.8188566962877909,0.015083011967210071,0.0170680347981398
gap,4,3000,3,0.5405325394909671,0.022680309931700785,0.025665186766968315,0.4081040127812303,0.025349011199724034,0.028685106542108957,0.9268075823783875,0.001979734453003956,0.0022402804299569883,0.8132883310317993,0.015489420098607078,0.01752792889250311
