dataset,target,train_size,seed,n_models,best_single_rmse,best_single_model,all_ensemble_rmse,all_ens_improvement_pct,cross_fam_rmse,top3,top5,fam_GNN,fam_Transformer,fam_3D,fam_Tree,fam_Other
qm9,lumo,225,1,3,0.61219597,chemberta2,0.5578993,8.86917,,0.5578992962837219,,,0.5578993,,,
qm9,homo,100,0,15,0.41609728,attentivefp,0.5400109,-29.779968,0.4813011586666107,0.42785292863845825,0.454811155796051,0.515828013420105,0.56833684,,0.506152331829071,0.5867377519607544
qm9,lumo,500,2,15,0.4157183,unimol_pt,0.43229473,-3.9874206,0.3832436501979828,0.33111265301704407,0.3407128155231476,0.35939717292785645,0.51367676,,0.7610377073287964,0.5460438132286072
qm9,homo,200,6,15,0.37707812,gcn,0.4287832,-13.712038,0.4024023711681366,0.38422784209251404,0.38851824402809143,0.4069579541683197,0.44796434,,0.4531840682029724,0.4677041471004486
qm9,homo,200,0,15,0.3598612,gcn,0.42933983,-19.307058,0.4125165045261383,0.36678847670555115,0.37713563442230225,0.4011937081813812,0.45422482,,0.4539075493812561,0.4953674077987671
qm9,lumo,375,0,3,0.5630691,selformer,0.5648494,-0.31617188,,0.5648493766784668,,,0.5648494,,,
qm9,lumo,475,6,3,0.5442539,selformer,0.5320868,2.235552,,0.5320867896080017,,,0.5320868,,,
qm9,lumo,3000,0,14,0.2361928,unimol_pt,0.29477185,-24.801378,0.24836114048957825,0.25045204162597656,0.24157041311264038,0.2625216245651245,0.31535122,,0.5162206292152405,0.5303677320480347
qm9,gap,50,2,15,0.80954576,krovex,0.99170715,-22.501684,0.8862790465354919,0.8063814640045166,0.8345529437065125,0.8242120742797852,1.0351439,,1.1135036945343018,1.1810566186904907
qm9,lumo,375,8,3,0.5611571,molformer,0.5144157,8.329471,,0.5144156813621521,,,0.5144157,,,
qm9,homo,3000,1,14,0.2987322,attentivefp,0.40066507,-34.12183,0.3656459450721741,0.3196676969528198,0.3330531418323517,0.36391007900238037,0.36812773,,0.48777368664741516,0.5007273554801941
qm9,lumo,350,5,3,0.58020854,molformer,0.52165896,10.091129,,0.5216589570045471,,,0.52165896,,,
qm9,gap,100,8,15,0.7652082,krovex,0.8969671,-17.2187,0.8269653916358948,0.7334240078926086,0.7710701823234558,0.7691298127174377,0.9296324,,0.9909781813621521,1.0951420068740845
qm9,homo,100,9,15,0.41797665,attentivefp,0.53475046,-27.937881,0.4721502959728241,0.4121982455253601,0.44120973348617554,0.49825772643089294,0.60125095,,0.5026521682739258,0.5625801682472229
qm9,gap,1000,1,14,0.43447432,attentivefp,0.5313953,-22.307638,0.49619919061660767,0.4190142750740051,0.4508957266807556,0.4973224699497223,0.5603418,,0.6847363114356995,0.7299460768699646
qm9,homo,200,9,15,0.36238435,gcn,0.438497,-21.0033,0.3990408778190613,0.37125763297080994,0.37168657779693604,0.3943150043487549,0.5431371,,0.45387980341911316,0.4604339003562927
qm9,lumo,1500,2,3,0.36295903,selformer,0.33077276,8.867745,,0.3307727575302124,,,0.33077276,,,
qm9,homo,500,7,15,0.3566624,attentivefp,0.42699796,-19.720491,0.3843260705471039,0.3605859875679016,0.37421920895576477,0.4081885516643524,0.41036254,,0.47845765948295593,0.5077232718467712
qm9,lumo,50,9,15,0.6814458,krovex,1.134367,-66.464745,0.9179301261901855,0.8185319900512695,0.8888665437698364,0.9188506603240967,1.2262149,,1.1647849082946777,1.3841814994812012
qm9,homo,500,5,15,0.36472875,gcn,0.4307551,-18.102861,0.3946286141872406,0.3727743625640869,0.38335633277893066,0.4131367802619934,0.41717848,,0.47907501459121704,0.5132250189781189
qm9,gap,50,7,15,0.8714884,attentivefp,0.969029,-11.192414,0.8930885195732117,0.8667897582054138,0.801877498626709,0.7952646613121033,1.0476869,,1.115136981010437,1.1771252155303955
qm9,homo,3000,2,14,0.30222985,attentivefp,0.3977585,-31.60795,0.364425390958786,0.30072253942489624,0.3275175988674164,0.348598450422287,0.36674672,,0.487795352935791,0.5121426582336426
