model,target,train_size,n_seeds,RMSE_mean,RMSE_std,MAE_mean,MAE_std,Pearson_R_mean,Pearson_R_std,R2_mean,R2_std,n_test_mean
gtca_depth_6,gap,450,10,0.7454357296581529,0.03921547365015102,0.5886530093197744,0.039937122185572674,0.8533180832862854,0.007219321506091032,0.644434905052185,0.03774695781573496,9997.0
gtca_depth_6,gap,475,10,0.7366753410316159,0.041172327350470966,0.5728409098032264,0.03755387723321838,0.8464369416236878,0.013641834632376788,0.6526320397853851,0.0398270294447679,9997.0
gtca_depth_6,gap,500,10,0.7462448952123353,0.02977169978689559,0.5890570838845604,0.03301751869973936,0.851496696472168,0.003985262045433426,0.644038736820221,0.028380491142352773,9997.0
gtca_depth_6,gap,600,3,0.7033449936132876,0.005038390911518224,0.552527468278096,0.00875832372874765,0.8808127442995707,0.005473452135921322,0.68423064549764,0.004532739165710256,9997.0
gtca_depth_6,gap,700,3,0.7154289188220395,0.043087589464017945,0.5679051393911013,0.041272664193954464,0.879783829053243,0.010375535092569098,0.6725083589553833,0.03970017510491111,9997.0
gtca_depth_6,gap,800,3,0.6648921489048958,0.04762595678005192,0.5189767261424701,0.05087216292129217,0.8875371019045512,0.00463900331226006,0.7168584068616232,0.04124383450550105,9997.0
gtca_depth_6,gap,900,3,0.6864598447138519,0.018958887863717962,0.5422906550118404,0.017784985978815823,0.8959881265958151,0.008556185876332906,0.6990672945976257,0.01671825730713049,9997.0
gtca_depth_6,gap,1000,3,0.6730279377564149,0.07235493727689359,0.5297726236746241,0.06846950317413802,0.8850307861963908,0.029906379198074973,0.7086480458577474,0.06084465594132655,9997.0
gtca_depth_6,gap,1500,3,0.6142871247809509,0.01804181450019006,0.4806892819321744,0.017213902446943638,0.9179489811261495,0.0011035617435740425,0.7590034604072571,0.01423812742356817,9997.0
gtca_depth_6,gap,2000,3,0.5855120635254905,0.02099975737181733,0.45113748419410493,0.019346311989446405,0.9221728841463724,0.002073806413816635,0.7809908390045166,0.015674639683427898,9997.0
gtca_depth_6,gap,2500,3,0.5528451169460346,0.013601031289919465,0.4248875776706124,0.014205755934012566,0.9300827185312907,0.003348505700355358,0.8048356175422668,0.009570540851861608,9997.0
gtca_depth_6,gap,3000,3,0.6157561580588454,0.11398633410168431,0.4795009198027715,0.11151527735829504,0.9205814599990845,0.015347421237337865,0.7524597644805908,0.08940794147582451,9997.0
gtca_depth_2,homo,50,10,0.6411711931218077,0.007804777966994472,0.4669073703908077,0.007710773788003835,0.1241939667612314,0.04761898533650619,-0.6408056855201721,0.04002357928906723,9997.0
gtca_depth_2,homo,75,10,0.590739455450841,0.06465517352942539,0.4358821360494064,0.0489404559109286,0.25350249633193017,0.16081216192888897,-0.40766793489456177,0.309314743120972,9997.0
gtca_depth_2,homo,100,10,0.665739736658476,0.03132997719099042,0.49518622375806665,0.03151664379007778,0.1555293127894401,0.04496900671906207,-0.7722498893737793,0.16183659504758588,9997.0
gtca_depth_2,homo,125,10,0.549316680408107,0.06472880530849322,0.3986287382166672,0.041627993917605216,0.3303175032138824,0.13053352674178864,-0.21924341917037965,0.2830796499146203,9997.0
gtca_depth_2,homo,150,10,0.5086621066792398,0.049313215766322346,0.3705772808504027,0.030830273951578675,0.38842377811670303,0.08305436801408972,-0.04128163456916812,0.2094045042838083,9997.0
gtca_depth_2,homo,175,10,0.5562015336986916,0.038308711619533434,0.39286620052491134,0.024771583809651134,0.22923604249954224,0.10002145441559669,-0.23984055519104003,0.16209428089202094,9997.0
gtca_depth_2,homo,200,10,0.5612405003281563,0.06300725041132604,0.40172829403867283,0.0427378728910205,0.2542067110538483,0.15466971876902563,-0.2712989091873169,0.2705851039007444,9997.0
gtca_depth_2,homo,225,10,0.5416978482826937,0.0657529062071019,0.3960445684155346,0.045545543086692966,0.35304461866617204,0.12916116005085976,-0.1865513503551483,0.2903341085997391,9997.0
gtca_depth_2,homo,250,10,0.5332528231554949,0.07789237096441402,0.38689127854653954,0.05468904335905569,0.3688498929142952,0.1509631175651735,-0.1565867006778717,0.3403207722462247,9997.0
gtca_depth_2,homo,275,10,0.5476945454508998,0.07303620779000451,0.39841602257881553,0.050459359548799744,0.35905949473381044,0.12401737445824304,-0.21625235676765447,0.32020791750398897,9997.0
gtca_depth_2,homo,300,10,0.5630560169883336,0.06424434280189625,0.4062072378540833,0.045874939417279964,0.3180773720145226,0.12234115720998259,-0.280010050535202,0.28264832429248354,9997.0
gtca_depth_2,homo,325,10,0.5389860847575657,0.06401581482858629,0.3856218595436329,0.04373629965430722,0.35728605538606645,0.12021438582436425,-0.17404673099517823,0.26997887856411923,9997.0
gtca_depth_2,homo,350,10,0.5528360027477934,0.058699720132270025,0.3966923539697884,0.043347663842364624,0.330335296690464,0.09842219868610026,-0.2320498526096344,0.2539014770807132,9997.0
gtca_depth_2,homo,375,10,0.4999605636439749,0.04874727358464185,0.3625735062523095,0.030897120016028186,0.427184471487999,0.10006524006817516,-0.0060574591159820775,0.20298471502802776,9997.0
gtca_depth_2,homo,400,10,0.5415913066243921,0.056847739797710024,0.3883999115295481,0.03633273190576126,0.35336274206638335,0.09858326745754092,-0.18216944336891175,0.2386746026006305,9997.0
gtca_depth_2,homo,425,10,0.5130173520516487,0.06461833522333638,0.3725824441961172,0.04416295743751284,0.4262694090604782,0.10644330731388017,-0.06530187726020814,0.27095447268664397,9997.0
gtca_depth_2,homo,450,10,0.47870894094376426,0.031033326523819408,0.34722575830642693,0.017476888821041266,0.4534831404685974,0.09986372559979412,0.0820186614990234,0.1227760092505127,9997.0
gtca_depth_2,homo,475,10,0.4854963682304927,0.05493553735007263,0.35227272550113903,0.03752500596262497,0.4645732492208481,0.09991454251911829,0.048521286249160744,0.22459260863932992,9997.0
