train_size,model_a,model_b,metric,t_stat,p_value,significant_005,target
75,gtca_depth_6,gtca_depth_2,MAE,-0.4340819387267426,0.6694214916003202,False,lumo
75,gtca_depth_6,gtca_depth_4,MAE,-2.137636045301458,0.046696073909606575,True,lumo
100,gtca_depth_6,gtca_depth_2,MAE,1.5805805570132752,0.13150641530107465,False,lumo
100,gtca_depth_6,gtca_depth_4,MAE,-1.580679326781959,0.13136455503949723,False,lumo
125,gtca_depth_6,gtca_depth_2,MAE,-4.010022946035672,0.0012024750743529712,True,lumo
125,gtca_depth_6,gtca_depth_4,MAE,-1.7362175048143742,0.09966695058385006,False,lumo
150,gtca_depth_6,gtca_depth_2,MAE,-6.5115429073296305,4.1535813647628236e-06,True,lumo
150,gtca_depth_6,gtca_depth_4,MAE,-1.6397321193320817,0.11861853907630804,False,lumo
175,gtca_depth_6,gtca_depth_2,MAE,-5.81734271150374,5.3991543916898174e-05,True,lumo
175,gtca_depth_6,gtca_depth_4,MAE,-1.6217925529390993,0.12369952888558167,False,lumo
200,gtca_depth_6,gtca_depth_2,MAE,-9.659863923789471,5.2695017460180545e-08,True,lumo
200,gtca_depth_6,gtca_depth_4,MAE,-3.9819764636944424,0.0009142562996416312,True,lumo
225,gtca_depth_6,gtca_depth_2,MAE,-6.630249878804151,1.017327790182633e-05,True,lumo
225,gtca_depth_6,gtca_depth_4,MAE,-2.6579250758231647,0.016404871232249787,True,lumo
250,gtca_depth_6,gtca_depth_2,MAE,-13.076912210470583,1.3340604694593414e-10,True,lumo
250,gtca_depth_6,gtca_depth_4,MAE,-5.836141504969884,2.7973460264128078e-05,True,lumo
275,gtca_depth_6,gtca_depth_2,MAE,-7.8849386578311975,1.0984195518069645e-06,True,lumo
275,gtca_depth_6,gtca_depth_4,MAE,-4.071881154915725,0.0010221983838490495,True,lumo
300,gtca_depth_6,gtca_depth_2,MAE,-7.226486381704256,1.1394454188007077e-06,True,lumo
300,gtca_depth_6,gtca_depth_4,MAE,-5.125077328143717,0.00010174017828915721,True,lumo
